1184140,下,した,"[n]: <1> below / down / under / younger (e.g. daughter) <2> bottom <3> beneath / underneath <4> (as 下から, 下より, etc.) / just after / right after [n, adj-no]: <5> inferiority / one's inferior (i.e. one's junior) [n]: <6> (see also: 下取り) trade-in [n-pref]: <7> (see also: 下準備) preliminary / preparatory",ichi1,1,1,1,2,BC
2004390,下,もと,"[n]: <1> (oft. as ...の下に or ...の下で) / under (guidance, supervision, rules, the law, etc.) <2> under (a flag, the sun, etc.) / beneath <3> (as ...の下に) / with (e.g. one blow) / on (the promise, condition, assumption, etc. that ...) / in (e.g. the name of ...) <4> (see also: 元・5) (usu. written as 元) / (someone's) side / (someone's) location","news1,nf07",1,1,1,2,BC
1290800,左,ひだり,"[n, adj-no]: <1> (see also: 右・1) left / left-hand side [n]: <2> left hand <3> the left (wing) / leftist <4> fondness for alcohol / drinker","ichi1,news1,nf01",1,1,1,3,BD
1171010,右,みぎ,"[n, adj-no]: <1> (see also: 左・1) right / right-hand side [n]: <2> right hand [n, adj-no]: <3> the above (in a piece of vertical writing) / above-mentioned [n]: <4> the right (wing) / rightist <5> the better (of two)","ichi1,news1,nf01",1,1,1,2,BE
1387210,先,さき,"[n]: <1> point / tip / end / nozzle <2> head (of a line) / front <3> first / before / ahead (of) <4> (the way) ahead / beyond [n, adj-no]: <5> future [adj-no, n]: <6> previous / prior / former / recent / last [n, n-suf]: <7> destination / address / place where you do something [n]: <8> rest (e.g. of a story) / continuation / remaining part <9> the other party",ichi1,1,1,1,2,BJ
1896380,出,で,"[n, n-suf]: <1> coming out / going out / outflow / efflux / rising (of the Sun or the Moon) <2> attending (work) / appearing (on stage) / one's turn to go on <3> start / beginning <4> origins / background / person (or item) originating from ... / graduate of ... / native of ... / member of ... (lineage) <5> architectural member that projects outward <6> highest point of the stern of a ship <7> {uk} (usu. after the -masu stem of a verb as 〜出がある or 〜出がない, etc.) / amount (comprising something) / amount of time or effort required to do something","news1,nf12",1,1,1,1,BL
2834885,夕,ゆう,"[n, adv]: evening","news1,nf02",1,1,1,2,CD
1463770,日,ひ,"[n]: <1> day / days <2> sun / sunshine / sunlight <3> (the) day / daytime / daylight <4> date / deadline <5> (past) days / time (e.g. of one's childhood) <6> (as 〜した日には, 〜と来た日には, etc.) / case (esp. unfortunate) / event","ichi1,news1,nf03",1,1,1,1,CE
2083100,日,にち,[n]: <1> {abbr} (see also: 日曜) Sunday [suf]: <2> nth day (of the month) [ctr]: <3> counter for days [n]: <4> {abbr} (see also: 日本) Japan,spec1,1,1,1,2,CE
1255430,月,つき,[n]: <1> Moon <2> month <3> moonlight <4> (see also: 衛星・1) (a) moon / natural satellite,ichi1,1,1,1,2,CF
1468060,年,とし,[n]: <1> year <2> age / years <3> past one's prime / old age,"ichi1,news1,nf02",1,1,1,2,CG
2084840,年,ねん,"[n]: <1> (see also: 年に一度) year [ctr]: <2> counter for years (e.g. of an era), grades (e.g. school) [n]: <3> {abbr} (see also: 年季・1) period of an apprentice's contract (usu. ten years)",spec1,1,1,1,2,CG
1193610,火,ひ,[n]: fire / flame / blaze,"ichi1,news1,nf02",1,1,1,1,CH
1371260,水,みず,[n]: <1> (see also: 湯・ゆ・1) water (esp. cool or cold) <2> fluid (esp. in an animal tissue) / liquid <3> flood / floodwaters <4> {sumo} (see also: 力水) water offered to wrestlers just prior to a bout <5> {sumo} (see also: 水入り) break granted to wrestlers engaged in a prolonged bout,"ichi1,news1,nf01",1,1,1,2,CI
1534520,木,き,[n]: <1> tree / shrub / bush <2> (only 木) wood / timber <3> (only 木) (usu. written as 柝) / wooden clappers (signalling the beginning or end of a performance),"ichi1,news1,nf01",1,1,1,1,CJ
1242590,金,かね,[n]: <1> (see also: お金) money <2> metal,ichi1,1,1,1,2,CK
1242600,金,きん,"[n]: <1> gold (metal) <2> (see also: 金色) gold (color) <3> gold (medal) / first place (prize) [n, adj-no]: <4> something of great value / something golden (e.g. silence) [n]: <5> money / gold coin <6> (written before an amount of money) / sum (of money) <7> {abbr} (see also: 金曜) Friday [n, ctr]: <8> karat (measure of purity of gold) / carat [n]: <9> (see also: 五行・1) metal (fourth phase of Wu Xing) <10> {hist} Jin dynasty (of China; 1115-1234) / Chin dynasty / Jurchen dynasty <11> {shogi} {abbr} (see also: 金将) gold general <12> {abbr} {col} (see also: 金玉) testicles",ichi1,1,1,1,2,CK
1445270,土,つち,"[n]: <1> earth / soil / dirt / clay / mud <2> the earth (historically, esp. as opposed to the heavens) / the ground / the land <3> (see also: 鳥の子紙) low-quality torinoko-gami (containing mud) <4> (see also: 陰陽道) (also written as 犯土, 椎, 槌) / (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)","ichi1,news1,nf04",1,1,1,2,CL
1245280,空,から,"[n, adj-no]: <1> emptiness / being empty [pref]: <2> not carrying anything / unburdened / empty-handed <3> dishonoured (bill, promise, etc.) / false / no-show (reservation) / put-on (cheeriness, courage, etc.) / empty (compliments) / insincere","ichi1,news1,nf03",1,1,1,2,CO
1245290,空,そら,[n]: <1> sky / the air / the heavens <2> weather <3> far-off place / distant place <4> (often as 〜空もない) / state of mind / feeling <5> (usu. as 空で) / (from) memory / (by) heart <6> falsehood / lie [n-pref]: <7> (before an adjective) / somehow / vaguely <8> (before a noun or a verb) / fake,ichi1,1,1,1,2,CO
1438210,天,てん,[n]: <1> sky <2> {Christn} heaven <3> God <4> {Buddh} svarga (heaven-like realm visited as a stage of death and rebirth) <5> {Buddh} deva (divine being of Buddhism) <6> top (of a book) <7> sole (of a Japanese sandal) <8> beginning / start <9> {abbr} (see also: 天ぷら) tempura <10> {abbr} {obs} (see also: 天竺・1) India,"ichi1,news1,nf03",1,1,1,2,CP
